,car title,rs,performance,emi
0,2014 Mahindra XUV500 W8,"<strong class=""_3RL-I"">₹7.81 Lakh</strong>","<li>63,541 km</li>","<span class=""_2O0yU"">EMIs from ₹20,575/month</span>"
1,2017 Hyundai Elite i20 ASTA 1.2,"<strong class=""_3RL-I"">₹6.65 Lakh</strong>","<li>43,104 km</li>","<span class=""_2O0yU"">EMIs from ₹13,001/month</span>"
2,2017 Tata TIGOR XZ PETROL,"<strong class=""_3RL-I"">₹4.80 Lakh</strong>","<li>60,142 km</li>","<span class=""_2O0yU"">EMIs from ₹9,384/month</span>"
3,2017 Maruti Baleno RS 1.0 PETROL,"<strong class=""_3RL-I"">₹6.57 Lakh</strong>","<li>75,293 km</li>","<span class=""_2O0yU"">EMIs from ₹12,844/month</span>"
4,2015 Hyundai Elite i20 MAGNA 1.2,"<strong class=""_3RL-I"">₹4.67 Lakh</strong>","<li>31,962 km</li>","<span class=""_2O0yU"">EMIs from ₹9,130/month</span>"
5,2020 Ford Ecosport TITANIUM + 1.5L PETROL AT,"<strong class=""_3RL-I"">₹9.17 Lakh</strong>","<li>31,546 km</li>","<span class=""_2O0yU"">EMIs from ₹17,454/month</span>"
6,2022 Toyota URBAN CRUISER PREMIUM GRADE AT,"<strong class=""_3RL-I"">₹11.41 Lakh</strong>","<li>30,938 km</li>","<span class=""_2O0yU"">EMIs from ₹21,718/month</span>"
7,2017 Volkswagen Polo HIGHLINE PLUS 1.2(16 ALLOY,"<strong class=""_3RL-I"">₹6.02 Lakh</strong>","<li>57,762 km</li>","<span class=""_2O0yU"">EMIs from ₹11,769/month</span>"
8,2017 Tata Tiago XZ PETROL,"<strong class=""_3RL-I"">₹4.59 Lakh</strong>","<li>38,616 km</li>","<span class=""_2O0yU"">EMIs from ₹8,974/month</span>"
9,2017 Maruti Swift ZXI,"<strong class=""_3RL-I"">₹5.95 Lakh</strong>","<li>85,409 km</li>","<span class=""_2O0yU"">EMIs from ₹11,632/month</span>"
10,2020 Renault TRIBER RXZ,"<strong class=""_3RL-I"">₹6.89 Lakh</strong>","<li>28,737 km</li>","<span class=""_2O0yU"">EMIs from ₹13,470/month</span>"
11,2018 Tata Tiago XZA PETROL,"<strong class=""_3RL-I"">₹5.31 Lakh</strong>","<li>40,608 km</li>","<span class=""_2O0yU"">EMIs from ₹10,381/month</span>"
12,2020 Tata TIGOR XMA PETROL,"<strong class=""_3RL-I"">₹5.72 Lakh</strong>","<li>20,468 km</li>","<span class=""_2O0yU"">EMIs from ₹11,183/month</span>"
13,2017 Maruti Ertiga ZXI,"<strong class=""_3RL-I"">₹7.91 Lakh</strong>","<li>44,964 km</li>","<span class=""_2O0yU"">EMIs from ₹15,464/month</span>"
14,2016 Hyundai Eon ERA +,"<strong class=""_3RL-I"">₹3.11 Lakh</strong>","<li>49,513 km</li>","<span class=""_2O0yU"">EMIs from ₹6,080/month</span>"
15,2015 Honda Amaze 1.2L I-VTEC S,"<strong class=""_3RL-I"">₹4.34 Lakh</strong>","<li>87,242 km</li>","<span class=""_2O0yU"">EMIs from ₹8,485/month</span>"
16,2020 Hyundai Elite i20 SPORTZ PLUS 1.2,"<strong class=""_3RL-I"">₹6.77 Lakh</strong>","<li>38,491 km</li>","<span class=""_2O0yU"">EMIs from ₹13,235/month</span>"
17,2017 Volkswagen Polo HIGHLINE1.2L,"<strong class=""_3RL-I"">₹6.00 Lakh</strong>","<li>50,029 km</li>","<span class=""_2O0yU"">EMIs from ₹11,730/month</span>"
18,2022 Tata PUNCH ACCOMPLISHED AMT,"<strong class=""_3RL-I"">₹7.91 Lakh</strong>","<li>25,610 km</li>","<span class=""_2O0yU"">EMIs from ₹15,464/month</span>"
19,2020 KIA SELTOS HTX IVT 1.5 PETROL,"<strong class=""_3RL-I"">₹11.56 Lakh</strong>","<li>58,166 km</li>","<span class=""_2O0yU"">EMIs from ₹22,003/month</span>"
